state,administration,abawd_enforced_2026,general_volunteer_lane,required_prestep,hours_reporting,monthly_hours_required,hours_formula,accepts_outofstate_nonprofit,remote_stance,tier,county_variation_flag,reporting_cadence,submission_deadline,confidence
"AK","state","partial","yes","none","self_reported",80,"federal_80","silent","unknown","1_clean","false","monthly","FSP 91 instructs recipients to give the completed form and documentation to any DPA office when demonstrating compliance. DPA general change-reporting guidance requires reporting changes (including hours falling below 20/week) within 10 days of the change. No specific month-end deadline for proactive ABAWD hour submissions found; reporting is event-driven when hours fall below threshold, not a fixed monthly upload deadline.","high"
"AL","state","yes","yes","none","self_reported",80,"federal_80","silent","unknown","1_clean","false","other","Changes in work hours must be reported by the 10th of the month after the month in which the change occurred (Chapter 17, Section 1700). The six-month report form (for income/household changes) must be returned between the 1st and 10th of the sixth month of the certification period. ABAWDs have a 4-month certification period.","high"
"AR","state","yes","yes","none","county_determined",80,"federal_80","silent","unknown","1_clean","false","monthly","unknown — the household must notify the county office when RTW is met (Section 3540.3: 'The household must notify the county office when a disqualified individual goes to work or otherwise meets RTW'); the worker must determine compliance within 10 days of reported change. For ongoing Comparable Workfare, the supervising entity maintains monthly records (Section 3752.2). No explicit calendar deadline (e.g., 'by the 10th') found in public sources.","high"
"AZ","state","yes","yes","none","self_reported",80,"federal_80","silent","unknown","1_clean","true","monthly","By the 10th day of the month following the month the change occurs (per DES change-reporting rules: 'You must report any changes by the 10th day of the month following the month the change occurs').","high"
"CA","county","yes","yes","none","self_reported",80,"federal_80","silent","unknown","1_clean","true","at_recertification","Verified at next recertification (periodic report or renewal); mid-period reporting required within 10 days if hours drop below 80/month (20/week). No fixed monthly filing deadline.","high"
"CO","county","yes","yes","none","self_reported",80,"federal_80","silent","unknown","1_clean","true","at_recertification","Once per certification period; no specific monthly deadline. The form is submitted when the recipient needs to document compliance, typically at recertification or when compliance is questioned.","high"
"CT","state","yes","yes","none","self_reported",80,"federal_80","silent","unknown","1_clean","false","monthly","by the 10th day of the month after the month the change occurs (per CT DSS 'Changes you need to report' guidance)","high"
"DC","state","yes","yes","none","self_reported",80,"federal_80","silent","unknown","1_clean","false","monthly","Within 10 days of the end of the month in which the change occurred (or within 10 days of the date the change happened if fewer than 10 days remain in the month). DC DHS SNAP Fact Sheet language: 'report within 10 days of the end of the month when the change happens.'","high"
"DE","state","yes","yes","none","self_reported",80,"federal_80","silent","silent","1_clean","false","monthly","Recipient must contact their case manager to prove compliance each month. If hours drop below 80/month, must notify case manager within 10 days. Formal verification of work hours is required at recertification per DSSM §9038. No specific paper deadline (e.g., 'by the 10th') was found in any public source.","high"
"FL","state","yes","yes","MOU","county_determined",80,"federal_80","silent","restricted","2_hoops","false","monthly","Varies by CareerSource region. WT073 requires timesheets to reflect participation for each activity period; some regional CareerSource offices (e.g., Brevard/Flagler/Volusia) require weekly submission by Monday 5pm for the prior week. Other regions (e.g., Capital Region) require submissions by the 15th and 30th of each month. No single statewide deadline found — participants should follow their assigned career center's schedule.","high"
